,pid,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,y
10,7,9.306641343317358,0.09481986095649686,9.028862280693492,9.028862280693492,0.70126720907981,0.09194118259836065,0.09194118259836065,0.005213589608886522,1.0199711912030103,1.0199711912030103,0.021477056984548215,1411,356,20.147142048670062,1.0654951432782613,1.018840819782771,1.0062530040740967,0.0,1.9567090272903442,0.9679070115089417,1.0629745125770569,71.70138888888889
11,7,8.69415112418738,0.0873927072465796,8.973820479503335,8.973820479503335,0.827418103904467,0.08812017435370861,0.08812017435370861,0.005440799116764462,0.9847510193046551,0.9847510193046551,0.030167854388545468,706,125,15.042117930204574,1.005023651599884,1.0051896498952102,1.0082659721374512,0.0,1.4744069576263428,0.9669685065746307,1.0435885190963745,68.8695652173913
12,7,12.916179230952082,0.13102415573106285,12.916179230952082,12.916179230952082,0.0,0.13102415573106285,0.13102415573106285,0.0,1.0144188415803266,1.0144188415803266,0.0,545,167,23.45505617977528,1.075815315018157,1.0144188415803266,1.008991003036499,0.0,1.4488680362701416,0.9345554858446121,1.1258927285671234,73.50597609561753
14,7,13.522966532543808,0.13544550667523927,13.522966532543808,13.522966532543808,0.0,0.13544550667523927,0.13544550667523927,0.0,1.0015961094725905,1.0015961094725905,0.0,259,19,6.83453237410072,0.9417395842702765,1.0015961094725905,1.000655472278595,0.0,1.3901339769363403,0.9884690046310425,1.0272534787654877,61.22082585278277
15,7,11.125065508819056,0.11002520587535862,10.976623840390612,10.976623840390612,3.2359432868258198,0.10824346311017281,0.10824346311017281,0.03117441812876802,0.9882922347908905,0.9882922347908905,0.007344317423015334,1674,150,8.223684210526317,0.9988235878944397,0.9889847910391134,0.9921405017375946,0.0,1.4902210235595703,0.9497727751731873,1.0359170138835907,64.44906444906445
16,7,12.693217781902941,0.12738378201949938,6.348340154040278,6.348340154040278,6.336518069333953,0.06379374671676721,0.06379374671676721,0.06368908633375314,0.9451477773669289,0.9451477773669289,0.05985228495626915,757,73,8.795180722891565,1.012513330537979,1.003557838589312,1.0078459978103638,0.0,1.1828819513320923,0.9555157572031021,1.0638809502124786,66.02687140115164
17,7,11.324611571499249,0.1118301770184309,11.247253823709997,11.247253823709997,0.557745381148611,0.11107374659301991,0.11107374659301991,0.0053950676393138275,0.9876132146920056,0.9876132146920056,0.0010073521147473952,1928,218,10.15843429636533,0.999383636297436,0.9874968012136938,0.9959385097026825,0.0,2.264988899230957,0.9434097409248352,1.035809487104416,64.60176991150442
18,7,9.495660856120848,0.09717548582720931,7.9360113492726345,7.9360113492726345,2.4722521714249646,0.08116731786863376,0.08116731786863376,0.025478887797205956,1.0219315132247164,1.0219315132247164,0.002698632368406728,1227,209,14.554317548746518,1.0465518341680462,1.0233672758496903,1.0220800042152405,0.0,1.21431303024292,0.998597726225853,1.0500894784927368,63.921568627450974
20,7,8.369214668928963,0.08282020645841774,7.730611254202083,7.730611254202083,0.2963775728823541,0.07642828953376792,0.07642828953376792,0.0004682695323476177,0.9898675392785632,0.9898675392785632,0.031892379195452625,1429,690,32.562529495044835,0.9909198377443397,0.9895815764636913,0.989579975605011,0.0,1.3528950214385986,0.9328604936599731,1.0430749654769897,62.15277777777778
22,7,8.803276773187264,0.08861062838155193,8.812178202724773,8.812178202724773,0.11174564679649725,0.0880808891970622,0.0880808891970622,5.2046083700650614e-05,0.9996892146752858,0.9996892146752858,0.012086263698840638,1039,167,13.84742951907131,1.0124080413115952,1.0065641540595351,1.0094755291938782,0.0,1.264646053314209,0.9678132385015488,1.0428349673748016,70.08928571428571
24,8,7.449025151667279,0.07560286614314424,7.293008095905518,7.293008095905518,0.5395100763008172,0.07407689526754005,0.07407689526754005,0.0051288564949152765,1.0160829238588618,1.0160829238588618,0.004840434265710347,1999,19,0.9415262636273538,0.5369657905478227,1.0149363789733266,1.0252739787101746,0.0,1.311171054840088,1.0046250224113464,1.0342357754707336,65.55555555555556
25,8,45.15624356669513,5.92636953352277,37.68812368738385,37.68812368738385,31.1894430363575,4.136899187450463,4.136899187450463,3.100205278922152,13.229788070889997,13.229788070889997,2.72258694486929,1998,476,19.24009700889248,0.9873100737062823,13.124142013207114,16.017584800720215,0.0,16.047000885009766,16.00594186782837,16.025092601776123,66.84027777777779
26,8,127.49633505135482,6.803642988164772,45.09173509532596,45.09173509532596,36.1235445460002,3.784702926027398,3.784702926027398,3.6943242160517484,5.1083307141940875,5.1083307141940875,4.100560980951249,1587,643,28.834080717488792,16.023766990768408,5.336343970533978,1.0319414734840393,0.0,16.064701080322266,1.0131815075874329,16.016671180725098,67.25490196078432
27,8,5.671004390302549,0.05756337090327213,5.579876881153752,5.579876881153752,1.07830068951316,0.05662236726273381,0.05662236726273381,0.0108664011695822,1.0150327295898296,1.0150327295898296,0.0014104926335383183,2589,44,1.6710976072920622,0.9208128181370822,1.015047193433774,1.0160290002822876,0.0,1.160051941871643,1.0009429454803467,1.0335359573364258,67.23404255319149
28,8,8.010946488835847,0.08076177481040489,8.004312230724722,8.004312230724722,0.2228298995394269,0.08069858915629657,0.08069858915629657,0.0023939643008508427,1.00813761031341,1.00813761031341,0.0018431599407627841,2493,26,1.0321556173084558,0.47447189459433925,1.0081427322346428,1.0142790079116821,0.0,1.1540130376815796,0.9998010098934174,1.0279164910316467,68.40277777777779
29,8,6.662707115143901,0.06747544231681714,6.643574412661238,6.643574412661238,0.6700873620058743,0.0672738509895284,0.0672738509895284,0.0067218009057900055,1.012712859540031,1.012712859540031,0.0009672500886508395,2500,29,1.146698299723211,0.7259440339844803,1.0127331301033755,1.0176069736480713,0.0,1.1930170059204102,0.9996860027313232,1.0311349630355835,61.28472222222222
30,8,8.141830833408687,0.08242592059819247,8.139803590562476,8.139803590562476,0.019304166154971547,0.08241078191349574,0.08241078191349574,8.867188851127e-05,1.012445008223835,1.012445008223835,0.0013117291703178546,2437,25,1.0154346060113728,0.45889556407928467,1.0123757455137858,1.0203290581703186,0.0,1.2053279876708984,1.0056980550289154,1.031290203332901,69.23076923076923
31,8,6.361077969637129,0.06452793235886498,6.024736454978449,6.024736454978449,2.4490640108955937,0.06114927354071494,0.06114927354071494,0.024916156050515705,1.0144941109621808,1.0144941109621808,0.0011709372984678446,2529,16,0.6286836935166994,0.4860629364848137,1.0144181955774079,1.0160260200500488,0.0,1.1685800552368164,1.0010650157928467,1.0390609502792358,73.95833333333334
32,8,6.049269655985925,0.061723718007830004,6.003349877863986,6.003349877863986,0.5902210549953648,0.06127161310583783,0.06127161310583783,0.006207940157407693,1.0203194445641992,1.0203194445641992,0.0030949381788178965,2516,23,0.9058684521465145,0.713065082612245,1.0203499185517813,1.0260709524154663,0.0,1.13611900806427,1.0099740028381348,1.0388270020484924,65.10416666666666
33,8,13.507223148815081,0.13651967477026183,13.577433674732623,13.577433674732623,5.457028643980939,0.13585636490514846,0.13585636490514846,0.05269145519764218,1.0073537869046987,1.0073537869046987,0.016793523390338683,1843,35,1.863684771033014,0.0674114261354719,1.0107160684780572,1.0293220281600952,0.0,1.2082569599151611,1.0145559906959534,1.0421502590179443,66.8903803131991
35,8,8.162945000432591,0.08307414100146918,8.145356791444978,8.145356791444978,0.767699562158481,0.08287996564890586,0.08287996564890586,0.00768314577503211,1.017661561771856,1.017661561771856,0.001589096490917874,2444,31,1.2525252525252526,0.5871959040241856,1.0176981591455865,1.0267020463943481,0.0,1.3976919651031494,1.0092005133628845,1.03608900308609,65.61844863731656
36,8,6.31965173308643,0.06457519914004767,5.966794975205701,5.966794975205701,2.4545884235488025,0.060945915765245065,0.060945915765245065,0.02502943685229533,1.0217679266413804,1.0217679266413804,0.000850714509037731,2509,15,0.5942947702060222,0.4394847393035889,1.0218157877587668,1.0290724635124207,0.0,1.107740044593811,1.0146540403366089,1.0379775166511536,74.19354838709677
37,8,4.789968560781975,0.04890465019112817,4.764696775387479,4.764696775387479,0.11967280356148002,0.04862778350200299,0.04862778350200299,0.000958444759509805,1.0207237429654945,1.0207237429654945,0.005521525769985214,2400,115,4.572564612326044,0.9823198981907056,1.0209806091742772,1.0246319770812988,0.0,1.2142210006713867,1.0032269954681396,1.0457885265350342,59.40054495912806
38,8,6.813865239386173,0.06970473627814651,6.613270669958527,6.613270669958527,1.837913824367921,0.06776518756466254,0.06776518756466254,0.01915039838979902,1.0232386702071274,1.0232386702071274,0.005203981977436767,2378,72,2.9387755102040813,0.9973847220341364,1.0229837812939468,1.025845468044281,0.0,1.2803089618682861,1.0058715045452118,1.0475885570049286,64.58333333333334
